col_num,subset,density_in_train,density_in_unseen,d0_mark,density_diff,unseen_centroid,dist_train_d0,data_similarity,div_index
2565,unseen,0.0435,0.135,,0.09150000000000001,,2.223001901726934,4.023935564743402,0.34054920366613894
2566,unseen,0.0475,0.245,,0.1975,,1.5661506093954918,3.763333286428124,0.3395862254844046
2567,unseen,0.0425,0.296,,0.2535,,1.6916419767051958,3.8873360866157585,0.3404159432956981
2568,unseen,0.0,0.087,yes,0.087,,3.172147274227028,5.3876797666606615,0.37686673159646134
2569,unseen,0.0125,0.191,,0.1785,,1.8626967619032133,4.624493256409163,0.3858146381777173
2570,unseen,0.2165,0.415,,0.19849999999999998,,1.7801909821840842,3.2566182431086834,0.33374516926426545
2571,unseen,0.0135,0.271,,0.2575,,2.096094579208696,4.391571602640429,0.3490739639103708
2572,unseen,0.0335,0.229,,0.1955,,1.6476993587263686,4.003872659313511,0.3409084226002941
2573,unseen,0.068,0.223,,0.155,,1.6036494205679066,4.260531280871367,0.345059355688165
2574,unseen,0.0405,0.173,,0.13249999999999998,,1.5769562651424722,3.797089860116693,0.34058228997360973
2575,unseen,0.115,0.254,,0.139,,1.9859159620324855,3.5993382688714255,0.3350789855799887
2576,unseen,0.3095,0.335,,0.025500000000000023,,1.2690456441246887,2.512061761889334,0.33333626643649134
2577,unseen,0.001,0.128,,0.127,,2.8455463525749956,4.938726341537863,0.36034358329926774
2578,unseen,0.0,0.107,yes,0.107,,3.476202513066364,5.981619617419647,0.4542721701930859
2579,unseen,0.002,0.121,,0.119,,2.930699338844879,4.7047132841981325,0.37201582686677176
2580,unseen,0.0,0.216,yes,0.216,,3.3083927881596,5.049861164960285,0.38733089048134567
2581,unseen,0.021,0.226,,0.20500000000000002,,1.6499488814214551,4.245002433053116,0.3631970868014268
2582,unseen,0.031,0.26,,0.229,,1.789602520932999,4.126647576231692,0.33932643447796995
2583,unseen,0.042,0.234,,0.192,,1.5936821209092293,4.063335085116451,0.33967388523560127
2584,unseen,0.0095,0.273,,0.2635,,2.334947716135219,4.444632837869999,0.3530641714146128
2585,unseen,0.001,0.208,,0.207,,2.9507673731370803,5.075378272302652,0.3939919408112036
2586,unseen,0.0375,0.255,,0.2175,,1.5646315445420502,4.139157971503908,0.341498084049483
2587,unseen,0.0,0.13,yes,0.13,,3.123764961759941,5.652186408437561,0.43175866408189645
2588,unseen,0.0095,0.205,,0.19549999999999998,,1.985428306234445,4.627164687514742,0.3823117692447158
2589,unseen,0.0025,0.213,,0.2105,,2.621573344123047,5.100895276907326,0.36995006933669045
2590,unseen,0.0075,0.195,,0.1875,,2.3883565300160767,4.497699106758095,0.384831138337688
2591,unseen,0.0645,0.319,,0.2545,,1.8260179964891619,4.162743456867914,0.34117870474223627
2592,unseen,0.011,0.096,,0.085,,2.5588794874945497,4.243716093106792,0.36065434097299137
2593,unseen,0.008,0.239,,0.23099999999999998,,2.2038240908157483,4.618010776907822,0.35267205142154856
2594,unseen,0.2225,0.355,,0.13249999999999998,,0.9718223190892068,3.1200652060905676,0.333934532478517
2595,unseen,0.1195,0.296,,0.1765,,1.0682239608540156,3.6456596221913022,0.33625588715878507
2596,unseen,0.195,0.357,,0.16199999999999998,,1.8048230146412387,3.0539918656497504,0.33347116284978895
2597,unseen,0.0875,0.311,,0.2235,,1.7666437978613891,3.653877238282591,0.3360318247431822
